Time,Weight
1,4.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,4.0
22,4.0
23,4.0
24,4.0
25,4.0
26,4.0
27,4.0
28,4.0
29,4.0
30,4.0
31,4.0
32,4.0
33,4.0
34,4.0
35,4.0
36,4.0
37,4.0
38,4.0
39,4.0
40,4.0
41,4.0
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,4.0
50,4.0
51,4.0
52,4.0
53,4.0
54,4.0
55,4.0
56,4.0
57,4.0
58,4.0
59,4.0
60,4.0
61,4.0
62,4.0
63,4.0
64,4.0
65,4.0
66,4.0
67,4.0
68,4.0
69,4.0
70,4.0
71,4.0
72,4.0
73,4.0
74,4.0
75,4.0
76,4.0
77,4.0
78,4.0
79,4.0
80,4.0
81,4.0
82,4.0
83,4.0
84,4.0
85,4.0
86,4.0
87,4.0
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,4.0
94,4.0
95,4.0
96,4.0
97,14.0
98,14.0
99,14.0
100,14.0
101,14.0
102,14.0
103,14.0
104,14.0
105,14.0
106,14.0
107,14.0
108,14.0
109,14.0
110,14.0
111,14.0
112,14.0
113,14.0
114,14.0
115,14.0
116,14.0
117,14.0
118,14.0
119,14.0
120,14.0
121,14.0
122,14.0
123,14.0
124,14.0
125,14.0
126,14.0
127,14.0
128,14.0
129,14.0
130,14.0
131,14.0
132,14.0
133,14.0
134,14.0
135,14.0
136,14.0
137,14.0
138,14.0
139,14.0
140,14.0
141,14.0
142,14.0
143,14.0
144,14.0
145,14.0
146,14.0
147,14.0
148,14.0
149,14.0
150,14.0
151,14.0
152,14.0
153,14.0
154,14.0
155,14.0
156,14.0
157,14.0
158,14.0
159,14.0
160,14.0
161,14.0
162,14.0
163,14.0
164,14.0
165,14.0
166,14.0
167,14.0
168,14.0
169,14.0
170,14.0
171,14.0
172,14.0
