Line,New_Trans_Capacity,Cost_Trans_Capacity
1,100.00001,2.1792e6
2,3354.9998,5.3921556e7
3,9926.685,1.940766e8
4,57.885708,1.1008704e6
5,4836.0,1.3573202e8
6,-4.1483554e-6,-0.13311659
7,2024.8304,7.0891336e7
8,-4.774559e-6,-0.14366171
9,-5.4172974e-6,-0.21018031
10,-5.2715695e-6,-0.1348731
11,-4.210969e-6,-0.06622591
12,380.31833,8.462463e6
13,-5.410559e-6,-0.14385054
14,2598.0,4.6252196e7
15,680.0,1.100512e7
16,-5.3396843e-6,-0.07244349
17,-5.3714766e-6,-0.15466093
18,-5.42838e-6,-0.27215183
19,-5.38476e-6,-0.14734857
20,-5.4060665e-6,-0.16666903
21,4504.0,1.4265518e8
22,2208.0,5.896464e7
23,276.0,7.4037e6
